SMILES EXCINT
c1cc2cccc3cccc(c1)-n-2-3 0.005020
c1cc2cccc3cncc(c1)-n-2-3 0.006626
c1cc2cccc3nccc(c1)-n-2-3 0.006051
c1cc2cccc3ncnc(c1)-n-2-3 0.006779
c1cc2cccc3nncc(c1)-n-2-3 0.008009
c1cc2cccc3nnnc(c1)-n-2-3 0.007242
c1cc2ccnc3ccnc(c1)-n-2-3 0.006828
c1cc2ccnc3cncc(c1)-n-2-3 0.007538
c1cc2ccnc3cncc(n1)-n-2-3 0.006722
c1cc2ccnc3cnnc(c1)-n-2-3 0.008246
c1cc2ccnc3nccc(c1)-n-2-3 0.006867
c1cc2ccnc3nccc(n1)-n-2-3 0.006678
c1cc2ccnc3ncnc(c1)-n-2-3 0.007801
c1cc2ccnc3ncnc(n1)-n-2-3 0.007908
c1cc2ccnc3nncc(c1)-n-2-3 0.008211
c1cc2ccnc3nncc(n1)-n-2-3 0.005167
c1cc2ccnc3nnnc(c1)-n-2-3 0.008603
c1cc2ccnc3nnnc(n1)-n-2-3 0.008052
c1cc2cncc3ccnc(c1)-n-2-3 0.008798
c1cc2cncc3ccnc(n1)-n-2-3 0.010481
c1cc2cncc3cncc(c1)-n-2-3 0.007169
c1cc2cncc3cncc(n1)-n-2-3 0.009123
c1cc2cncc3cnnc(c1)-n-2-3 0.010195
c1cc2cncc3cnnc(n1)-n-2-3 0.005056
c1cc2cncc3nccc(n1)-n-2-3 0.009680
c1cc2cncc3ncnc(c1)-n-2-3 0.009412
c1cc2cncc3ncnc(n1)-n-2-3 0.011671
c1cc2cncc3nncc(c1)-n-2-3 0.008208
c1cc2cncc3nncc(n1)-n-2-3 0.009415
c1cc2cncc3nnnc(c1)-n-2-3 0.008282
c1cc2cncc3nnnc(n1)-n-2-3 0.007671
c1cc2cnnc3ccnc(c1)-n-2-3 0.009752
c1cc2cnnc3ccnc(n1)-n-2-3 0.010578
c1cc2cnnc3cncc(n1)-n-2-3 0.007915
c1cc2cnnc3cnnc(c1)-n-2-3 0.004340
c1cc2cnnc3cnnc(n1)-n-2-3 0.003762
c1cc2cnnc3nccc(n1)-n-2-3 0.006509
c1cc2cnnc3ncnc(c1)-n-2-3 0.005680
c1cc2cnnc3ncnc(n1)-n-2-3 0.006458
c1cc2cnnc3nncc(c1)-n-2-3 0.004797
c1cc2cnnc3nncc(n1)-n-2-3 0.004738
