id SMILES S0S1 S0T1 T1S1 OS
0 c1cc2cccc3cccc(c1)-n-2-3 1.038089 1.198339 -0.16025 0.0
1 c1cc2cccc3cncc(c1)-n-2-3 0.922166 1.045877 -0.123711 0.000633
2 c1cc2cccc3nccc(c1)-n-2-3 1.380431 1.491178 -0.110747 0.000537
3 c1cc2cccc3ncnc(c1)-n-2-3 1.59346 1.741869 -0.148409 0.002229
4 c1cc2cccc3nncc(c1)-n-2-3 1.517693 1.427733 0.08996 6.9e-05
5 c1cc2cccc3nnnc(c1)-n-2-3 1.35985 1.499214 -0.139364 0.000211
6 c1cc2ccnc3ccnc(c1)-n-2-3 1.731749 1.796801 -0.065052 0.000561
7 c1cc2ccnc3cncc(c1)-n-2-3 1.294145 1.359668 -0.065523 0.00175
8 c1cc2ccnc3cncc(n1)-n-2-3 1.425593 1.574782 -0.149189 0.000272
9 c1cc2ccnc3cnnc(c1)-n-2-3 1.815499 1.741745 0.073754 0.001181
10 c1cc2ccnc3nccc(c1)-n-2-3 1.536155 1.685917 -0.149762 0.002518
11 c1cc2ccnc3nccc(n1)-n-2-3 1.802736 1.960725 -0.157989 0.001608
12 c1cc2ccnc3ncnc(c1)-n-2-3 1.862647 1.9908 -0.128153 0.003811
13 c1cc2ccnc3ncnc(n1)-n-2-3 2.041241 2.212138 -0.170897 0.004506
14 c1cc2ccnc3nncc(c1)-n-2-3 1.478967 1.538085 -0.059118 0.000835
15 c1cc2ccnc3nncc(n1)-n-2-3 1.805171 1.868118 -0.062947 3.9e-05
16 c1cc2ccnc3nnnc(c1)-n-2-3 1.633895 1.764664 -0.130769 0.001747
17 c1cc2ccnc3nnnc(n1)-n-2-3 1.818193 2.002054 -0.183861 1.9e-05
18 c1cc2cncc3ccnc(c1)-n-2-3 1.348576 1.354367 -0.005791 0.002104
19 c1cc2cncc3ccnc(n1)-n-2-3 1.396955 1.477144 -0.080189 0.006382
20 c1cc2cncc3cncc(c1)-n-2-3 0.808624 0.914134 -0.10551 0.000507
21 c1cc2cncc3cncc(n1)-n-2-3 1.317173 1.266134 0.051039 0.00228
22 c1cc2cncc3cnnc(c1)-n-2-3 1.613451 1.371143 0.242308 0.000501
23 c1cc2cncc3cnnc(n1)-n-2-3 1.421614 1.384285 0.037329 0.003194
24 c1cc2cncc3nccc(n1)-n-2-3 1.688257 1.664874 0.023383 0.00329
25 c1cc2cncc3ncnc(c1)-n-2-3 1.485252 1.576887 -0.091635 0.003917
26 c1cc2cncc3ncnc(n1)-n-2-3 1.735141 1.788957 -0.053816 0.008633
27 c1cc2cncc3nncc(c1)-n-2-3 1.560927 1.3938 0.167127 0.001008
28 c1cc2cncc3nncc(n1)-n-2-3 1.864997 1.701093 0.163904 0.002121
29 c1cc2cncc3nnnc(c1)-n-2-3 1.266311 1.379213 -0.112902 0.000291
30 c1cc2cncc3nnnc(n1)-n-2-3 1.526814 1.615026 -0.088212 0.003961
31 c1cc2cnnc3ccnc(c1)-n-2-3 1.897732 1.752052 0.14568 0.000481
32 c1cc2cnnc3ccnc(n1)-n-2-3 1.768428 1.772849 -0.004421 0.005101
33 c1cc2cnnc3cncc(n1)-n-2-3 1.342581 1.41046 -0.067879 0.001001
34 c1cc2cnnc3cnnc(c1)-n-2-3 2.118044 1.820121 0.297923 0.000198
35 c1cc2cnnc3cnnc(n1)-n-2-3 1.971842 1.835434 0.136408 0.001446
36 c1cc2cnnc3nccc(n1)-n-2-3 1.570869 1.687908 -0.117039 0.003537
37 c1cc2cnnc3ncnc(c1)-n-2-3 1.922038 1.898466 0.023572 0.002546
38 c1cc2cnnc3ncnc(n1)-n-2-3 1.907846 1.974128 -0.066282 0.007593
39 c1cc2cnnc3nncc(c1)-n-2-3 1.219121 1.343022 -0.123901 3e-05
40 c1cc2cnnc3nncc(n1)-n-2-3 1.545911 1.638246 -0.092335 0.001684
41 c1cc2cnnc3nnnc(c1)-n-2-3 1.833543 1.807425 0.026118 0.001772
42 c1cc2cnnc3nnnc(n1)-n-2-3 1.775806 1.877113 -0.101307 0.000401
43 c1cc2nccc3ccnc(c1)-n-3-2 1.529244 1.704198 -0.174954 0.000156
44 c1cc2nccc3cnnc(c1)-n-3-2 1.384165 1.470631 -0.086466 0.002448
45 c1cc2nccc3nccc(n1)-n-3-2 2.062381 2.101391 -0.03901 0.0
46 c1cc2nccc3ncnc(c1)-n-2-3 1.852438 2.015012 -0.162574 0.000575
47 c1cc2nccc3nnnc(c1)-n-2-3 1.662042 1.75808 -0.096038 0.001624
48 c1cc2ncnc3cncc(n1)-n-2-3 1.770268 1.867731 -0.097463 0.002073
49 c1cc2ncnc3cnnc(c1)-n-2-3 1.750898 1.822828 -0.07193 0.004248
50 c1cc2ncnc3nccc(n1)-n-2-3 2.152655 2.292661 -0.140006 0.001696
51 c1cc2ncnc3ncnc(c1)-n-2-3 2.092748 2.266518 -0.17377 0.002373
52 c1cc2ncnc3ncnc(n1)-n-2-3 2.332595 2.541361 -0.208766 0.001703
53 c1cc2ncnc3nncc(n1)-n-2-3 2.218602 2.22332 -0.004718 0.00099
