NUM,SMILES,S0S1,S0T1,T1S1,OS
3198,c1cc2ccnc-2ccn1,2.528,2.453,0.075,0.019
3199,c1cc2ccnc-2cnn1,2.276,1.894,0.382,0.001
3200,c1cc2ccnc-2ncn1,2.387,2.284,0.102,0.024
3201,c1cc2ccnc-2nnn1,2.233,1.982,0.251,0.014
3202,c1cc2ccnccc-2c1,2.185,2.116,0.069,0.014
3203,c1cc2ccncnc-2c1,2.042,1.951,0.092,0.015
3204,c1cc2ccnncc-2c1,2.266,1.932,0.334,0.001
3205,c1cc2ccnnnc-2c1,2.013,1.874,0.139,0.010
3206,c1cc2cncc-2ccn1,1.929,1.841,0.088,0.018
3207,c1cc2cncc-2cnn1,1.993,1.666,0.327,0.000
3208,c1cc2cncc-2ncn1,1.783,1.670,0.114,0.017
3209,c1cc2cncc-2nnn1,1.849,1.576,0.273,0.015
3210,c1cc2cnccnc-2c1,2.326,2.255,0.071,0.013
3211,c1cc2cncncc-2c1,2.595,2.711,-0.116,0.002
3212,c1cc2cncnnc-2c1,2.144,1.850,0.294,0.002
3213,c1cc2cnnc-2ccn1,2.290,2.202,0.088,0.021
3214,c1cc2cnnc-2cnn1,2.008,1.680,0.329,0.003
3215,c1cc2cnnc-2ncn1,1.911,1.696,0.215,0.000
3216,c1cc2cnnc-2nnn1,1.907,1.755,0.152,0.010
3217,c1cc2cnncnc-2c1,1.817,1.536,0.281,0.003
3218,c1cc2cnncnc-2n1,1.858,1.567,0.291,0.004
3219,c1cc2cnnncc-2c1,2.161,1.701,0.460,0.001
3220,c1cc2cnnncc-2n1,2.532,1.736,0.796,0.036
3221,c1cc2cnnnnc-2c1,2.504,1.888,0.617,0.003
3222,c1cc2cnnnnc-2n1,2.431,1.902,0.529,0.031
3223,c1cc2nccc-2cnn1,2.328,1.984,0.344,0.001
3224,c1cc2nccc-2ncn1,2.373,2.278,0.096,0.014
3225,c1cc2nccc-2nnn1,2.226,2.090,0.136,0.009
3226,c1cc2nccnnc-2c1,2.208,2.123,0.085,0.009
3227,c1cc2ncnc-2ccn1,2.935,2.932,0.003,0.020
3228,c1cc2ncnc-2cnn1,2.299,1.907,0.392,0.001
3229,c1cc2ncnc-2ncn1,2.558,2.327,0.231,0.001
3230,c1cc2ncnc-2nnn1,2.375,2.071,0.304,0.011
3231,c1cc2ncncnc-2c1,1.871,1.783,0.088,0.013
3232,c1cc2ncnncc-2n1,1.881,1.515,0.365,0.005
3233,c1cc2ncnnnc-2c1,1.862,1.679,0.183,0.013
3234,c1cc2nncc-2cnn1,1.933,1.561,0.372,0.004
3235,c1cc2nncc-2ncn1,1.889,1.665,0.224,0.000
3236,c1cc2nncc-2nnn1,2.181,1.835,0.346,0.007
3237,c1cc2nncnnc-2c1,1.860,1.693,0.167,0.000
3238,c1cc2nnnc-2ccn1,2.641,2.411,0.230,0.028
3239,c1cc2nnnc-2cnn1,1.920,1.530,0.390,0.008
3240,c1cc2nnnc-2ncn1,2.019,1.727,0.292,0.000
3241,c1cc2nnnc-2nnn1,2.117,1.838,0.279,0.009
3242,c1cc2nnncnc-2n1,2.045,1.818,0.227,0.007
3243,c1cc2nnnncc-2n1,2.437,1.909,0.528,0.003
3246,c1ccc2cccc-2cc1,2.310,2.314,-0.003,0.010
3247,c1ccc2cccc-2nc1,2.187,2.153,0.034,0.011
3248,c1ccc2ccnc-2cc1,2.667,2.609,0.058,0.013
3249,c1ccc2ccnc-2nc1,2.538,2.454,0.085,0.019
3250,c1ccc2cncc-2cc1,2.048,2.040,0.008,0.014
3251,c1ccc2cncc-2nc1,1.902,1.860,0.042,0.013
3252,c1ccc2cnnc-2cc1,2.435,2.405,0.030,0.016
3253,c1ccc2cnnc-2nc1,2.117,1.943,0.174,0.000
3254,c1ccc2nccc-2nc1,2.523,2.488,0.035,0.008
3255,c1ccc2ncnc-2cc1,3.082,2.939,0.143,0.011
3256,c1ccc2ncnc-2nc1,2.940,2.748,0.193,0.013
3257,c1ccc2nncc-2nc1,2.109,1.914,0.195,0.000
3258,c1ccc2nnnc-2cc1,2.820,2.673,0.148,0.020
3259,c1ccc2nnnc-2nc1,2.347,2.059,0.288,0.000
3260,c1cnc2cccc-2nc1,2.039,2.004,0.034,0.008
3261,c1cnc2ccnc-2cn1,2.615,2.574,0.041,0.008
3262,c1cnc2ccnc-2nc1,2.383,2.243,0.140,0.010
3263,c1cnc2ccnc-2nn1,2.293,2.014,0.278,0.002
3264,c1cnc2cncc-2cn1,2.023,1.965,0.058,0.015
3265,c1cnc2cncc-2nc1,1.753,1.702,0.051,0.011
3266,c1cnc2cncc-2nn1,1.951,1.847,0.104,0.009
3267,c1cnc2cnnc-2cn1,2.083,1.883,0.200,0.000
3268,c1cnc2cnnc-2nc1,1.714,1.489,0.225,0.000
3269,c1cnc2cnnc-2nn1,1.827,1.560,0.267,0.001
3270,c1cnc2nccc-2cn1,2.679,2.500,0.179,0.030
3271,c1cnc2nccc-2nn1,2.224,1.999,0.225,0.000
3272,c1cnc2ncnc-2cn1,2.893,2.601,0.292,0.001
3273,c1cnc2ncnc-2nc1,2.522,2.287,0.236,0.000
3274,c1cnc2ncnc-2nn1,2.229,1.899,0.331,0.005
3275,c1cnc2nncc-2cn1,2.055,1.873,0.182,0.000
3276,c1cnc2nncc-2nn1,2.059,1.760,0.299,0.001
3277,c1cnc2nnnc-2cn1,2.237,1.959,0.278,0.000
3278,c1cnc2nnnc-2nc1,1.823,1.518,0.305,0.000
3279,c1cnc2nnnc-2nn1,2.119,1.671,0.448,0.002
3280,c1cncc2cccc-2c1,2.445,2.482,-0.038,0.008
3281,c1cncc2ccnc-2c1,2.798,2.678,0.120,0.018
3282,c1cncc2cncc-2c1,2.180,2.218,-0.039,0.012
3283,c1cncc2cnnc-2c1,2.550,2.421,0.128,0.013
3284,c1cncc2nccc-2c1,2.783,2.750,0.034,0.005
3285,c1cncc2ncnc-2c1,3.198,2.951,0.246,0.008
3286,c1cncc2nncc-2c1,2.541,2.412,0.129,0.000
3287,c1cncc2nnnc-2c1,2.819,2.613,0.205,0.000
3288,c1cnnc2cccc-2c1,2.358,2.106,0.252,0.006
3289,c1cnnc2ccnc-2c1,2.322,2.010,0.312,0.000
3290,c1cnnc2cncc-2c1,2.079,1.934,0.146,0.011
3291,c1cnnc2cnnc-2c1,2.172,1.828,0.344,0.002
3292,c1cnnc2nccc-2c1,2.327,2.023,0.304,0.000
3293,c1cnnc2ncnc-2c1,2.271,1.924,0.347,0.002
3294,c1cnnc2nncc-2c1,2.105,1.733,0.371,0.004
3295,c1cnnc2nnnc-2c1,2.118,1.689,0.429,0.008
3296,c1nc2cnnncc-2n1,2.674,1.743,0.931,0.070
3297,c1nc2cnnnnc-2n1,2.345,1.764,0.582,0.030
3299,c1ncc2ccnc-2cn1,2.932,2.824,0.108,0.006
3300,c1ncc2ccnc-2nn1,2.162,1.749,0.414,0.011
3301,c1ncc2cncc-2cn1,2.339,2.455,-0.116,0.006
3302,c1ncc2cncc-2nn1,2.102,1.743,0.359,0.007
3303,c1ncc2cnnc-2cn1,2.607,2.489,0.119,0.001
3304,c1ncc2cnnc-2nn1,1.993,1.535,0.458,0.010
3305,c1ncc2cnnncc1-2,1.868,1.523,0.345,0.002
3306,c1ncc2nccc-2nn1,2.154,1.762,0.391,0.005
3307,c1ncc2ncnc-2cn1,3.072,3.018,0.054,0.000
3308,c1ncc2ncnc-2nn1,2.169,1.689,0.480,0.012
3309,c1ncc2nncc-2nn1,2.201,1.770,0.431,0.005
3310,c1ncc2nnnc-2cn1,2.873,2.666,0.206,0.005
3311,c1ncc2nnnc-2nn1,2.131,1.617,0.514,0.010
3312,c1ncc2nnnncc1-2,2.409,1.810,0.599,0.001
3314,c1ncnc2cncc-2n1,1.597,1.481,0.116,0.015
3315,c1ncnc2nccc-2n1,1.974,1.793,0.181,0.001
3316,c1ncnc2ncnc-2n1,2.085,1.892,0.193,0.001
3317,c1ncnc2nncc-2n1,1.491,1.255,0.236,0.000
3318,c1ncnc2nnnc-2n1,1.484,1.209,0.275,0.000
3319,c1nnc2ccnc-2nn1,2.070,1.726,0.344,0.012
3320,c1nnc2cncc-2nn1,1.757,1.549,0.208,0.004
3321,c1nnc2cnnc-2nn1,1.660,1.424,0.237,0.009
3322,c1nnc2ncnc-2nn1,2.034,1.632,0.402,0.011
3323,c1nnc2nnnc-2nn1,1.880,1.568,0.312,0.014
3325,c1nncc2cncc-2n1,1.542,1.267,0.275,0.005
3326,c1nncc2cnnc-2n1,1.579,1.206,0.374,0.003
3327,c1nncc2ncnc-2n1,1.893,1.521,0.372,0.006
3328,c1nncc2nncc-2n1,1.654,1.391,0.263,0.003
3329,c1nncc2nnnc-2n1,1.539,1.167,0.372,0.005
3330,c1nnnc2cncc-2n1,1.994,1.536,0.458,0.004
3331,c1nnnc2cnnc-2n1,1.915,1.622,0.294,0.004
3332,c1nnnc2nccc-2n1,2.154,1.830,0.323,0.002
