id,CC2-aug-cc-pVDZ,CC2-cc-pVDZ,EOM-CCSD-aug-cc-pVDZ,EOM-CCSD-cc-pVDZ
mol1_d2h,-0.234,-0.263,-0.126,-0.15
mol3_d2h,-0.203,-0.223,-0.153,-0.178
mol3_d2,-0.192,-0.211,-0.145,-0.17
mol4_c2v,0.737,0.791,0.971,1.027
mol4_d3h,0.246,0.258,0.614,0.634
mol7_d2h,-0.191,-0.163,0.061,0.085
mol13_c2v,-0.06,-0.072,0.021,0.008
mol18_d2h,0.039,0.053,0.309,0.324
mol21_c2h,-0.008,-0.018,0.125,0.119
mol22_c2v,0.311,0.312,0.5,0.513
mol23_c2v,0.471,0.501,0.794,0.84
mol23_d2h,0.184,0.191,0.303,0.35
mol24_c2v,0.555,0.611,,0.947
mol24_d3h,,-0.186,-0.041,-0.059
mol25_c2v,0.073,0.074,-0.117,-0.135
mol25_cs,-0.122,-0.14,-0.03,-0.046
mol33_c2v,0.156,0.147,0.258,0.243
mol34_c2v,0.183,0.198,0.361,0.379
mol35_c2v,-0.007,-0.014,0.093,0.085
mol36_c2,0.043,0.062,0.282,0.306
mol36_c2v,0.057,0.078,0.299,0.325
mol39_d2h ,0.566,0.608,0.822,0.859
mol45_c2v ,0.048,0.048,0.134,0.132
mol50_c2h,0.795,0.85,1.114,1.177
mol50_c2v,0.795,0.858,0.674,0.701
mol82_c2h,0.126,0.129,,0.274
mol83_c2,0.259,0.264,,0.382
mol83_c2v,0.349,0.36,,0.536
mol83_cs,0.383,0.399,0.627,
mol88_c2v,-0.073,-0.083,0.004,
mol117_c2v,-0.093,-0.104,-0.012,-0.026
mol150_c2v,0.081,0.086,,0.248
mol153_d2h,0.642,0.675,,0.975
mol155_c2,0.11,0.119,,0.449
mol155_c2v,0.21,0.244,,0.631
mol158_c2,-0.124,-0.136,,-0.107
mol158_c2v,-0.139,-0.155,,-0.082
mol160_c2,0.09,0.093,,0.199
mol160_c2v,0.142,0.144,,0.295
mol162_c2,-0.012,-0.016,,0.048
mol162_c2v,-0.01,-0.015,,0.054
mol182_c2v,0.394,0.431,,0.775
mol184_c2_in,0.02,0.024,,0.302
mol184_c2_out,0.661,0.722,,1.165
mol184_c2h,0.461,0.51,,0.866
mol185_c2h,-0.048,-0.058,,0.096
mol185_cs,0.4,0.438,,0.803
mol186_cs,0.482,0.548,,0.977
mol188_c2,0.009,-0.001,,0.017
mol188_c2v,0.015,0.003,,0.008
