id,CC2-aug-cc-pVDZ,CC2-cc-pVDZ,EOM-CCSD-aug-cc-pVDZ,EOM-CCSD-cc-pVDZ
mol1,0.792,0.856,,
mol2,-0.005,-0.021,0.073,0.055
mol3,0.637,0.702,0.817,0.886
mol4,0.759,0.831,,1.106
mol5,0.698,0.752,,
mol6,0.699,0.75,0.994,1.058
mol7,0.269,0.318,0.521,0.685
mol8,-0.023,-0.026,0.093,0.091
mol9,0.752,0.805,,
mol10,0.342,0.379,,
mol11,0.395,0.431,0.681,0.725
mol12,0.3,0.328,,
mol13,0.19,0.214,,0.472
mol14,0.424,0.462,,
mol15,-0.012,-0.017,0.089,0.081
mol16,0.705,0.785,1.012,1.112
mol17,0.471,0.521,,
mol18,0.376,0.437,,0.56
mol19,0.698,0.773,,
mol20,0.65,0.712,,1.095
mol21,0.314,0.345,,0.673
mol22,0.544,0.582,,1.092
mol23,0.641,0.694,0.966,1.033
mol24,0.591,0.657,,
mol25,0.645,0.708,,0.96
mol26,0.605,0.65,,
mol27,0.379,0.41,,
mol28,0.382,0.411,,
mol29,0.297,0.331,,
mol30,0.385,0.405,,
mol31,0.393,0.43,,
mol32,0.438,0.463,,
mol33,0.51,0.553,,0.904
mol34,0.181,0.19,,
mol35,-0.005,-0.011,0.093,0.085
mol36,0.542,0.597,,1.035
mol37,0.511,0.561,,
mol38,0.666,0.721,,
mol39,0.786,0.848,1.178,1.248
mol40,0.586,0.632,,
mol41,0.651,0.703,,
mol42,0.652,0.705,,
mol43,0.687,0.742,,
mol44,0.556,0.6,,
mol45,0.606,0.65,,0.953
mol46,0.701,0.758,,
mol47,0.726,0.788,,
mol48,0.649,0.709,,
mol49,0.641,0.686,,
mol50,0.708,0.761,,1.104
mol51,0.644,0.694,,
mol52,0.417,0.463,,
mol53,0.07,0.085,,0.344
mol54,0.01,0.007,,
mol55,0.287,0.314,,0.622
mol56,0.272,0.301,,
mol57,0.306,0.331,,
mol58,0.49,0.535,,
mol59,0.372,0.403,,
mol60,0.572,0.628,,
mol61,0.368,0.388,,0.218
mol62,0.077,0.083,,0.205
mol63,0.843,0.913,,
mol64,0.878,0.927,,
mol65,0.853,0.913,,
mol66,0.961,0.921,,
mol67,0.108,0.112,,0.245
mol68,0.075,0.077,,0.202
mol69,0.245,0.247,0.422,0.445
mol70,0.3,0.29,0.213,0.438
mol71,0.573,0.615,,
mol72,0.492,0.523,,
mol73,0.541,0.576,,0.901
mol74,0.438,0.481,,
mol75,0.264,0.275,,
mol76,0.057,0.057,,0.186
mol77,0.019,0.045,,0.418
mol78,0.12,0.137,,
mol79,0.131,0.134,,
